	GSM350771.CEL	GSM350771.CEL.gz	GSM350772.CEL	GSM350772.CEL.gz
10000_at	1.3405199133257	1.3405199133257	1.9907713531144	1.9907713531144
10001_at	4.95228222388011	4.95228222388011	4.7767737628857	4.7767737628857
10002_i_at	8.67351735179508	8.67351735179508	9.17962036953234	9.17962036953234
10003_f_at	11.1446302980205	11.1446302980205	11.1046336586445	11.1046336586445
10004_at	1.50597293753322	1.50597293753322	1.84486896072956	1.84486896072956
10005_at	5.97821597589523	5.97821597589523	5.08393371332327	5.08393371332327
10006_at	3.42291105945344	3.42291105945344	2.73641900456072	2.73641900456072
10007_at	6.1443767078216	6.1443767078216	7.11441539049727	7.11441539049727
10008_at	2.41210710732566	2.41210710732566	4.14794287053009	4.14794287053009
10009_at	3.62615847257085	3.62615847257085	4.65868734695773	4.65868734695773
10010_at	6.88978372983465	6.88978372983465	6.83531443419776	6.83531443419776
10011_at	1.19452571243447	1.19452571243447	1.56267127840218	1.56267127840218
10012_at	3.2492532644883	3.2492532644883	3.44473189852227	3.44473189852227
10013_at	2.15454187073339	2.15454187073339	1.7583985724641	1.7583985724641
10014_at	6.23640455993773	6.23640455993773	7.35231584045464	7.35231584045464
10015_at	9.29997516397216	9.29997516397216	9.27135042149083	9.27135042149083
10016_at	7.93769506164481	7.93769506164481	5.673904614717	5.673904614717
10017_at	2.08983098560084	2.08983098560084	3.04646244787341	3.04646244787341
10018_at	11.2203446836089	11.2203446836089	11.2986608569678	11.2986608569678
10019_at	10.1066226674063	10.1066226674063	10.400145116383	10.400145116383
10020_at	6.3050802729192	6.3050802729192	6.22236836556352	6.22236836556352
10021_at	3.21695834143511	3.21695834143511	3.68878785429279	3.68878785429279
10022_at	1.98099664622703	1.98099664622703	2.9642068215049	2.9642068215049
10023_at	2.44956908736331	2.44956908736331	3.29323812807767	3.29323812807767
10024_at	3.59193089816113	3.59193089816113	3.24284313549392	3.24284313549392
10025_at	2.66799206773517	2.66799206773517	2.69200927938645	2.69200927938645
10026_at	2.61626112024457	2.61626112024457	3.25708710439067	3.25708710439067
10027_at	1.61965043969825	1.61965043969825	2.20098005943263	2.20098005943263
10028_at	4.65999865414132	4.65999865414132	5.21703964342319	5.21703964342319
10029_at	3.8634108853088	3.8634108853088	2.69081056231047	2.69081056231047
10030_at	4.2991246382573	4.2991246382573	6.12889550136506	6.12889550136506
10031_at	6.71215084670446	6.71215084670446	7.79091367292812	7.79091367292812
10032_at	3.95231335109261	3.95231335109261	2.4149252072533	2.4149252072533
10033_at	3.08836955874989	3.08836955874989	2.21339837074439	2.21339837074439
10034_at	4.88905576162634	4.88905576162634	3.56473569648928	3.56473569648928
10035_at	5.01530409948642	5.01530409948642	3.94955226790771	3.94955226790771
10036_at	3.45993311251375	3.45993311251375	3.04033081819839	3.04033081819839
10037_at	4.41182641598706	4.41182641598706	5.75157457239281	5.75157457239281
10038_i_at	6.50505063366329	6.50505063366329	6.99729021193303	6.99729021193303
10039_s_at	3.67348224316815	3.67348224316815	4.49387114755271	4.49387114755271
10040_at	3.64414158776113	3.64414158776113	4.71475314477628	4.71475314477628
10041_at	1.73144199656721	1.73144199656721	3.0247415998354	3.0247415998354
10042_at	2.26296948538779	2.26296948538779	1.77149998364769	1.77149998364769
10043_at	2.8660802400509	2.8660802400509	3.35612053370509	3.35612053370509
10044_at	4.93672682923399	4.93672682923399	3.83825581772432	3.83825581772432
10045_at	9.94924352946654	9.94924352946654	9.58695097829827	9.58695097829827
10046_at	1.88321994926011	1.88321994926011	1.90399749938458	1.90399749938458
10047_f_at	11.2828817828509	11.2828817828509	9.99432176150853	9.99432176150853
10048_at	3.57484004877559	3.57484004877559	3.70879950045166	3.70879950045166
10049_at	3.24579879288215	3.24579879288215	3.37149922937316	3.37149922937316
10050_at	4.4487709334746	4.4487709334746	2.95438325902945	2.95438325902945
10051_at	7.57687611348817	7.57687611348817	8.00908823945852	8.00908823945852
10052_at	5.30125875583234	5.30125875583234	3.13398363033627	3.13398363033627
10053_at	10.4040915000105	10.4040915000105	10.9374574752216	10.9374574752216
10054_at	6.82252033481739	6.82252033481739	6.28923360067122	6.28923360067122
10055_at	5.75974067767466	5.75974067767466	5.64560434453981	5.64560434453981
10056_at	3.4197912509514	3.4197912509514	2.06341758230749	2.06341758230749
10057_at	3.11167865819077	3.11167865819077	4.4526464810977	4.4526464810977
10058_at	4.87187897314406	4.87187897314406	4.87218476955473	4.87218476955473
10059_at	4.35196482867813	4.35196482867813	2.62354255278233	2.62354255278233
10060_at	4.51894352485856	4.51894352485856	4.34730767738649	4.34730767738649
10061_at	11.4911361832378	11.4911361832378	11.6693992192991	11.6693992192991
10062_at	5.09304020098014	5.09304020098014	4.45681051364839	4.45681051364839
10063_i_at	1.90280752011493	1.90280752011493	2.84829943426709	2.84829943426709
10064_s_at	3.42308947694828	3.42308947694828	2.3430575023314	2.3430575023314
10065_at	2.34752056241155	2.34752056241155	1.41820655601271	1.41820655601271
10066_s_at	5.57938181480969	5.57938181480969	3.20041394335485	3.20041394335485
10067_at	1.69568740692967	1.69568740692967	1.97967959651109	1.97967959651109
10068_i_at	10.0267326489111	10.0267326489111	7.67512339862131	7.67512339862131
10069_f_at	8.69547823145843	8.69547823145843	6.71910833319427	6.71910833319427
10070_at	1.93352605430086	1.93352605430086	2.03527730653452	2.03527730653452
10071_at	1.88343587899252	1.88343587899252	1.9079075643087	1.9079075643087
